,S. No.,Message_body,Label
613,614.0,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,Non-Spam
615,616.0,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,Non-Spam
616,617.0,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,Non-Spam
617,618.0,I am in bus on the way to calicut,Non-Spam
620,621.0,I'm already back home so no probably not,Non-Spam
621,622.0,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",Non-Spam
622,623.0,Wrong phone! This phone! I answer this one but assume the other is people i don't well,Non-Spam
623,624.0,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,Non-Spam
624,625.0,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Non-Spam
625,626.0,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,Non-Spam
626,627.0,Ü go home liao? Ask dad to pick me up at 6...,Non-Spam
627,628.0,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,Non-Spam
628,629.0,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,Non-Spam
629,630.0,G wants to know where the fuck you are,Non-Spam
630,631.0,K..k.:)congratulation ..,Non-Spam
631,632.0,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",Non-Spam
632,633.0,Hey do you want anything to buy:),Non-Spam
633,634.0,Once free call me sir.,Non-Spam
634,635.0,Match started.india  &lt;#&gt;  for 2,Non-Spam
635,636.0,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",Non-Spam
638,639.0,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,Non-Spam
639,640.0,Wanna do some art?! :D,Non-Spam
640,641.0,"Oh yes, why is it like torture watching england?",Non-Spam
641,642.0,Ok... Let u noe when i leave my house.,Non-Spam
642,643.0,We can go 4 e normal pilates after our intro...  ,Non-Spam
643,644.0,Oh yah... We never cancel leh... Haha ,Non-Spam
644,645.0,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,Non-Spam
645,646.0,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",Non-Spam
646,647.0,"G says you never answer your texts, confirm/deny",Non-Spam
647,648.0,Re your call; You didn't see my facebook huh?,Non-Spam
648,649.0,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,Non-Spam
650,651.0,"Just dropped em off, omw back now",Non-Spam
651,652.0,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,Non-Spam
652,653.0,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,Non-Spam
654,655.0,I am on the way to tirupur.,Non-Spam
655,656.0,Love that holiday Monday feeling even if I have to go to the dentists in an hour,Non-Spam
656,657.0,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,Non-Spam
657,658.0,Will do. Have a good day,Non-Spam
658,659.0,"I'm in solihull, | do you want anything?",Non-Spam
659,660.0,Then anything special?,Non-Spam
660,661.0,Will you come online today night,Non-Spam
662,663.0,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",Non-Spam
663,664.0,I;m reaching in another 2 stops.,Non-Spam
665,666.0,Taka lor. Wat time u wan 2 come n look 4 us?,Non-Spam
667,668.0,"Haha, that was the first person I was gonna ask",Non-Spam
668,669.0,Oh for fuck's sake she's in like tallahassee,Non-Spam
669,670.0,I cant pick the phone right now. Pls send a message,Non-Spam
670,671.0,2 and half years i missed your friendship:-),Non-Spam
672,673.0,Convey my regards to him,Non-Spam
673,674.0,Send me the new number,Non-Spam
674,675.0,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,Non-Spam
675,676.0,Its worse if if uses half way then stops. Its better for him to complete it.,Non-Spam
676,677.0,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,Non-Spam
677,678.0,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",Non-Spam
678,679.0,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,Non-Spam
680,681.0,Or just do that 6times,Non-Spam
681,682.0,Poor girl can't go one day lmao,Non-Spam
682,683.0,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,Non-Spam
683,684.0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",Non-Spam
684,685.0,As usual u can call me ard 10 smth.,Non-Spam
685,686.0,When/where do I pick you up,Non-Spam
686,687.0,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,Non-Spam
687,688.0,Yeah just open chat and click friend lists. Then make the list. Easy as pie,Non-Spam
689,690.0,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,Non-Spam
691,692.0,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",Non-Spam
692,693.0,Wat happened to the cruise thing,Non-Spam
693,694.0,Lol! Oops sorry! Have fun. ,Non-Spam
694,695.0,Hi dis is yijue i would be happy to work wif ü all for gek1510...,Non-Spam
695,696.0,Well. You know what i mean. Texting,Non-Spam
696,697.0,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,Non-Spam
697,698.0,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,Non-Spam
698,699.0,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",Non-Spam
699,700.0,Okey dokey swashbuckling stuff what oh.,Non-Spam
700,701.0,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",Non-Spam
701,702.0,I'm really sorry I lit your hair on fire,Non-Spam
702,703.0,Sorry da..today i wont come to play..i have driving clas..,Non-Spam
705,706.0,Nokia phone is lovly..,Non-Spam
706,707.0,"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",Non-Spam
707,708.0,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",Non-Spam
708,709.0,Ok...,Non-Spam
709,710.0,Thanks  and ! Or bomb and date as my phone wanted to say! ,Non-Spam
710,711.0,yes baby! I need to stretch open your pussy!,Non-Spam
711,712.0,Same to u...,Non-Spam
712,713.0,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",Non-Spam
713,714.0,I'm fine. Hope you are also,Non-Spam
714,715.0,I liked your new house,Non-Spam
715,716.0,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,Non-Spam
716,717.0,Maybe you should find something else to do instead???,Non-Spam
717,718.0,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,Non-Spam
718,719.0,S.this will increase the chance of winning.,Non-Spam
719,720.0,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,Non-Spam
720,721.0,Pls help me tell Ashley that i cant find her number oh,Non-Spam
721,722.0,Missing you too.pray inshah allah,Non-Spam
723,724.0,I need details about that online job.,Non-Spam
724,725.0,"Awesome, that gonna be soon or later tonight?",Non-Spam
725,726.0,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",Non-Spam
727,728.0,That's one of the issues but california is okay. No snow so its manageable,Non-Spam
728,729.0,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,Non-Spam
729,730.0,....photoshop makes my computer shut down.,Non-Spam
730,731.0,Yay can't wait to party together!,Non-Spam
731,732.0,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",Non-Spam
732,733.0,I hope your pee burns tonite.,Non-Spam
734,735.0,Rats. Hey did u ever vote for the next themes?,Non-Spam
735,736.0,Po de :-):):-):-):-). No need job aha.,Non-Spam
736,737.0,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",Non-Spam
737,738.0,"How long before you get reply, just defer admission til next semester",Non-Spam
738,739.0,Lol no. Just trying to make your day a little more interesting,Non-Spam
739,740.0,Yup but it's not giving me problems now so mayb i'll jus leave it...,Non-Spam
740,741.0,"Haha, just what I was thinkin",Non-Spam
741,742.0,I am going to sleep. I am tired of travel.,Non-Spam
742,743.0,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,Non-Spam
743,744.0,:-) :-),Non-Spam
745,746.0,Im good! I have been thinking about you...,Non-Spam
747,748.0,Got smaller capacity one? Quite ex...,Non-Spam
748,749.0,How's ur paper?,Non-Spam
749,750.0,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,Non-Spam
750,751.0,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,Non-Spam
751,752.0,Ü no home work to do meh... ,Non-Spam
752,753.0,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Non-Spam
753,754.0,i can call in  &lt;#&gt;  min if thats ok,Non-Spam
754,755.0,"fyi I'm at usf now, swing by the room whenever",Non-Spam
755,756.0,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,Non-Spam
756,757.0,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",Non-Spam
757,758.0,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",Non-Spam
758,759.0,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,Non-Spam
760,761.0,Call me when u finish then i come n pick u.,Non-Spam
761,762.0,Sorry for the delay. Yes masters,Non-Spam
762,763.0,"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",Non-Spam
763,764.0,How do you plan to manage that,Non-Spam
764,765.0,Reverse is cheating. That is not mathematics.,Non-Spam
765,766.0,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",Non-Spam
766,767.0,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",Non-Spam
767,768.0,I dont know why she.s not getting your messages,Non-Spam
768,769.0,Just come home. I don't want u to be miserable,Non-Spam
771,772.0,Saw Guys and Dolls last night with Patrick Swayze it was great,Non-Spam
772,773.0,Sorry that was my uncle. I.ll keep in touch,Non-Spam
773,774.0,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,Non-Spam
774,775.0,Gd luck 4 ur exams :-),Non-Spam
775,776.0,Send me your resume:-),Non-Spam
776,777.0,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,Non-Spam
777,778.0,We're on the opposite side from where we dropped you off,Non-Spam
778,779.0,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",Non-Spam
779,780.0,Ü thk of wat to eat tonight.,Non-Spam
780,781.0,Holy living christ what is taking you so long,Non-Spam
782,783.0,Indeed and by the way it was either or - not both !,Non-Spam
783,784.0,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",Non-Spam
784,785.0,"Call me, i am senthil from hsbc.",Non-Spam
785,786.0,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,Non-Spam
786,787.0,Sen told that he is going to join his uncle finance in cbe,Non-Spam
787,788.0,O we cant see if we can join denis and mina? Or does denis want alone time,Non-Spam
788,789.0,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,Non-Spam
789,790.0,Sorry completely forgot * will pop em round this week if your still here?,Non-Spam
790,791.0,Quite lor. But dun tell him wait he get complacent...,Non-Spam
791,792.0,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",Non-Spam
792,793.0,U repeat e instructions again. Wat's e road name of ur house?,Non-Spam
793,794.0,Ok then u tell me wat time u coming later lor.,Non-Spam
794,795.0,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",Non-Spam
795,796.0,Hi..i got the money da:),Non-Spam
796,797.0,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,Non-Spam
797,798.0,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,Non-Spam
798,799.0,I'm not sure if its still available though,Non-Spam
800,801.0,Whens your radio show?,Non-Spam
801,802.0,if you text on your way to cup stop that should work. And that should be BUS,Non-Spam
802,803.0,Hi.:)technical support.providing assistance to us customer through call and email:),Non-Spam
803,804.0,Prepare to be pleasured :),Non-Spam
804,805.0,Me too! Have a lovely night xxx,Non-Spam
805,806.0,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),Non-Spam
806,807.0,I'm home. Doc gave me pain meds says everything is fine.,Non-Spam
809,810.0,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",Non-Spam
810,811.0,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,Non-Spam
811,812.0,U wan 2 haf lunch i'm in da canteen now.,Non-Spam
812,813.0,Ok lor... Or u wan me go look 4 u?,Non-Spam
814,815.0,Well boy am I glad G wasted all night at applebees for nothing,Non-Spam
816,817.0,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",Non-Spam
817,818.0,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,Non-Spam
818,819.0,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,Non-Spam
819,820.0,"When you just put in the + sign, choose my number and the pin will show. Right?",Non-Spam
820,821.0,Orh i tot u say she now still dun believe.,Non-Spam
822,823.0,Thinking of u ;) x,Non-Spam
823,824.0,I am in hospital da. . I will return home in evening,Non-Spam
824,825.0,Ya very nice. . .be ready on thursday,Non-Spam
825,826.0,Many more happy returns of the day. I wish you happy birthday.,Non-Spam
826,827.0,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",Non-Spam
827,828.0,We have pizza if u want,Non-Spam
828,829.0,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,Non-Spam
829,830.0,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",Non-Spam
830,831.0,"Not for possession, especially not first offense",Non-Spam
831,832.0,Oh k:)after that placement there ah?,Non-Spam
833,834.0,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,Non-Spam
834,835.0,Wat time r ü going to xin's hostel?,Non-Spam
835,836.0,K:)eng rocking in ashes:),Non-Spam
836,837.0,I dont know ask to my brother. Nothing problem some thing that. Just i told .,Non-Spam
837,838.0,I've reached already.,Non-Spam
838,839.0,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,Non-Spam
840,841.0,Jason says it's cool if we pick some up from his place in like an hour,Non-Spam
841,842.0,"There'll be a minor shindig at my place later tonight, you interested?",Non-Spam
843,844.0,HELLO PEACH! MY CAKE TASTS LUSH!,Non-Spam
844,845.0,"I'm home, my love ... If your still awake ... *loving kiss*",Non-Spam
845,846.0,"Yup. Anything lor, if u dun wan it's ok...",Non-Spam
846,847.0,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..,Non-Spam
847,848.0,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",Non-Spam
848,849.0,My uncles in Atlanta. Wish you guys a great semester.,Non-Spam
849,850.0,"K will do, addie &amp; I are doing some art so I'll be here when you get home",Non-Spam
850,851.0,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",Non-Spam
851,852.0,S:)8 min to go for lunch:),Non-Spam
852,853.0,Oops i thk i dun haf enuff... I go check then tell ü..,Non-Spam
853,854.0,Big brother‘s really scraped the barrel with this shower of social misfits,Non-Spam
854,855.0,Thats cool princess! I will cover your face in hot sticky cum :),Non-Spam
855,856.0,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,Non-Spam
856,857.0,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),Non-Spam
857,858.0,"Haha awesome, I might need to take you up on that, what you doin tonight?",Non-Spam
858,859.0,"Did you say bold, then torch later. Or one torch and 2bold?",Non-Spam
859,860.0,Wif my family booking tour package.,Non-Spam
860,861.0,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,Non-Spam
861,862.0,Hey anyway i have to :-),Non-Spam
862,863.0,Yar but they say got some error.,Non-Spam
863,864.0,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,Non-Spam
864,865.0,Anytime...,Non-Spam
865,866.0,I liked the new mobile,Non-Spam
867,868.0,Yes fine ,Non-Spam
868,869.0,Don no da:)whats you plan?,Non-Spam
869,870.0,"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",Non-Spam
870,871.0,A guy who gets used but is too dumb to realize it.,Non-Spam
872,873.0,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,Non-Spam
873,874.0,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,Non-Spam
874,875.0,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",Non-Spam
875,876.0,Surly ill give it to you:-) while coming to review.,Non-Spam
876,877.0,Ok no prob,Non-Spam
877,878.0,"Didn't try, g and I decided not to head out",Non-Spam
878,879.0,Hmmm.but you should give it on one day..,Non-Spam
879,880.0,Eatin my lunch...,Non-Spam
880,881.0,But pls dont play in others life.,Non-Spam
881,882.0,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",Non-Spam
882,883.0,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",Non-Spam
883,884.0,Ok u can take me shopping when u get paid =D,Non-Spam
884,885.0,"Haha yeah, 2 oz is kind of a shitload",Non-Spam
885,886.0,Are you staying in town ?,Non-Spam
886,887.0,"That's cool he'll be here all night, lemme know when you're around",Non-Spam
887,888.0,Sry da..jst nw only i came to home..,Non-Spam
888,889.0,It is a good thing I'm now getting the connection to bw,Non-Spam
889,890.0,Wewa is 130. Iriver 255. All 128 mb.,Non-Spam
890,891.0,Ü ready then call me...,Non-Spam
892,893.0,I'm leaving my house now.,Non-Spam
893,894.0,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,Non-Spam
895,896.0,"Probably not, I'm almost out of gas and I get some cash tomorrow",Non-Spam
896,897.0,"I didnt get ur full msg..sometext is missing, send it again",Non-Spam
897,898.0,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",Non-Spam
898,899.0,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,Non-Spam
899,900.0,I send the print  outs da.,Non-Spam
900,901.0,Not..tel software name..,Non-Spam
901,902.0,Ok set let u noe e details later...,Non-Spam
902,903.0,Mum not going robinson already.,Non-Spam
903,904.0,No. Yes please. Been swimming?,Non-Spam
904,905.0,Ladies first and genus second k .,Non-Spam
905,906.0,Ok no prob...,Non-Spam
906,907.0,You call him and tell now infront of them. Call him now.,Non-Spam
907,908.0,I cant pick the phone right now. Pls send a message,Non-Spam
908,909.0,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,Non-Spam
910,911.0,"K, I'll work something out",Non-Spam
911,912.0,Our Prasanth ettans mother passed away last night. Just pray for her and family.,Non-Spam
912,913.0,Hope you are having a great day.,Non-Spam
913,914.0,Lol yes. But it will add some spice to your day.,Non-Spam
914,915.0,Where r e meeting tmr?,Non-Spam
916,917.0,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,Non-Spam
917,918.0,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",Non-Spam
918,919.0,We are okay. Going to sleep now. Later,Non-Spam
919,920.0,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,Non-Spam
921,922.0,Are you planning to come chennai?,Non-Spam
922,923.0,Did u got that persons story,Non-Spam
923,924.0,Sorry i din lock my keypad.,Non-Spam
925,926.0,Havent.,Non-Spam
926,927.0,Do you hide anythiing or keeping distance from me,Non-Spam
927,928.0,Of course. I guess god's just got me on hold right now.,Non-Spam
928,929.0,Captain vijaykanth is doing comedy in captain tv..he is drunken :),Non-Spam
929,930.0,Oh ho. Is this the first time u use these type of words,Non-Spam
930,931.0,K k pa Had your lunch aha.,Non-Spam
931,932.0,How come i din c ü... Yup i cut my hair...,Non-Spam
932,933.0,These won't do. Have to move on to morphine,Non-Spam
933,934.0,Oh wow thats gay. Will firmware update help,Non-Spam
934,935.0,"I'm in a meeting, call me later at",Non-Spam
935,936.0,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",Non-Spam
936,937.0,Everybody had fun this evening. Miss you.,Non-Spam
937,938.0,Only saturday and sunday holiday so its very difficult:),Non-Spam
940,941.0,Lol ... I knew that .... I saw him in the dollar store,Non-Spam
941,942.0,I'm on the bus. Love you,Non-Spam
942,943.0,Jus finish blowing my hair. U finish dinner already?,Non-Spam
943,944.0,"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....",Non-Spam
944,945.0,They finally came to fix the ceiling.,Non-Spam
945,946.0,"Received, understood n acted upon!",Non-Spam
946,947.0,THIS IS A LONG FUCKIN SHOWR,Non-Spam
947,948.0,"Sorry, I'll call later In meeting.",Non-Spam
948,949.0,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,Non-Spam
949,950.0,Good. do you think you could send me some pix? I would love to see your top and bottom...,Non-Spam
950,951.0,Ü called dad oredi...,Non-Spam
952,953.0,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,Non-Spam
953,954.0,How much you got for cleaning,Non-Spam
954,955.0,Sorry da. I gone mad so many pending works what to do.,Non-Spam
955,956.0,Wat time ü finish?,Non-Spam
956,957.0,Just glad to be talking to you.,Non-Spam
0,,Want _ _ in _ secs? Ring 02073162414 now! _ 20p / _ Gsex POBOX 2667 _ 3XX,Spam
1,,_ (20 / _) is inviting you to be her friend. _ YES - _ or NO - 165 See her: _. _. _ / _ / natalie2k9 STOP? _ STOP _ to 62468,Spam
2,,_ Calling! Would your _ ones _ a _ from _ Xmas _? Call 09058094583 to book your _.,Spam
3,,Todays _ _ _ with _ are _ to receive a £ _ _. If you have a _ please call 08712300220 quoting claim _ 7684 standard rates _.,Spam
4,,_ per min to _ Germany _ from your BT _. Just _ _ min. _ PlanetTalkInstant. com for _ & _ ' s & C ' s. _ stop to opt out,Spam
5,,_ your _ 11mths? _ for _ to _ _ colour camera mobiles & _ weekend _. Call _ Upd8 on freefone 08000839402 or 2StopTxt,Spam
6,,_ _ _ XMAS REWARD IS _ FOR YOU! Our computer has _ picked you from our _ mobile _ to receive a £ _ _. Just call _,Spam
7,,_! _ _ your _ wallpaper text HEART to 88888 now! _ & C _. 16 only. _ _? Call _.,Spam
8,,_ have 1 new _. Please _ 08715205273,Spam
9,,"_ 2 _ 3G _ R yours. _ 09063458130 now! _ wid _ _, play java games, Dload polypH music, _ rentl. bx420. _. _. 150p",Spam
10,,_! Your _ _ _ for 07808247860 shows _ un - _ S. _. _. points. Call _ Identifier Code: 40411 Expires _ / 11 / 04,Spam
11,,Camera - _ are awarded a SiPix Digital Camera! _ _ fromm _. Delivery _ _ days.,Spam
12,,Your weekly Cool - Mob tones are ready to download! _ weeks _ _ _: 1) Crazy _ - _ _> >> 2) Akon - _> >> 3) Black _ - Dont _> >> More info in n,Spam
13,,_ have won a guaranteed _ award or maybe even _ _ cash to claim _ award call free on _. .. .. (_ + ). _ a legitimat efreefone number _ do _ think? ??,Spam
14,,"_! _ _ ' s draw shows that you have won £ _ cash or a Spanish _! _ _ 09050000332 to _. _ & C: RSTM, _ 3SS. 150ppm",Spam
15,,_ Mins & _ Txt & 1 / 2 price Linerental on _ Orange _ _. _ _ for the very latest offers. 08000839402 or _ / _,Spam
16,,"_ _ _. _ _ tried to make a delivery to you but were _ to do so, _ _ _ to re - schedule. Ref: _",Spam
17,,PRIVATE! Your _ _ _ for 078,Spam
18,,The _ leading _ is 151. _ pause this auction send _. _ Care: _,Spam
19,,Urgent! _ call 09061213237 from _. _ _ _ or a _ 4 * _ Islands Holiday await collection. T & _ _ PO _ 177. M227XY. 150ppm. 16 +,Spam
20,,"_ is the 2nd _ we have tried 2 contact _. _ have won the £ 750 _ prize. 2 claim is easy, call 087187272008 NOW1! Only 10p _ _. _ - _ - _.",Spam
21,,"_ SERVICES. for your inclusive text credits, _ goto www. comuk. net login = 3qxj9 _ with _, no extra _. _ _. _. _ - CM2 _",Spam
22,,YOU _ _ TO RECEIVE A _ _ _! Pls call claim _ _ to collect your _ which you are _ to _ as a valued mobile customer.,Spam
23,,83039 _ = £ 450 _ Break _ terms & _ _. _ claim you mustprovide your claim number which is _,Spam
24,,No _ POLYPHONIC tone _ ur _ every _! Just _ PT2 to 87575. 1st Tone _! so _ _ now and tell ur friends. 150p / tone. 16 reply _ _,Spam
25,,Your unique user _ is _. For _ _ STOP to _ customer services 08708034412,Spam
26,,Sunshine _! _ a _ Sony _ _ if you canname the capital of Australia? _ MQUIZ to _. B,Spam
27,,_ won ' t _ it but it ' s true. _ ' s _ Txts! Reply G now to learn _ _ things that will blow your _. _ _ only 18p / _,Spam
28,,URGENT! We are trying to _ U. Todays _ shows that you have won a £ _ prize _. Call 09058094507 from _ _. _ _. _ _ only,Spam
29,,_ are being ripped off! Get your _ _ from _. clubmoby. _ call 08717509990 _ / _ / _ / Ringtones / Games six _ for only _,Spam
